Population,Total Crime (Annual),GDP (US Dollars),Literacy Rate (%),Unemployment Rate (%),State
4858979.00,22952.00,2.00E+11,7.7,6.1,Alabama
738432.00,5392.00,53384000000,9,6.7,Alaska
6828065.00,28012.00,2.91E+11,9.3,6,Arizona
2978204.00,15526.00,1.19E+11,6.1,5.2,Arkansas
39144818.00,166883.00,2.49E+12,10.7,6.2,California
5456574.00,17515.00,3.13E+11,12.7,3.9,Colorado
3590886.00,7845.00,2.56E+11,15.5,5.6,Connecticut
945934.00,4720.00,68864000000,11.4,5,Delaware
685800.00,8534.00,1.21E+11,28,6.9,District of Columbia
20271272.00,93626.00,8.84E+11,9,5.4,Florida
10214860.00,38643.00,5.02E+11,9.9,5.8,Georgia
1431603.00,4201.00,80599000000,9.9,3.7,Hawaii
1654930.00,3568.00,65460000000,7.5,4.3,Idaho
12859995.00,49354.00,7.72E+11,11.7,5.9,Illinois
6619680.00,25653.00,3.33E+11,8.1,4.8,Indiana
3123899.00,8936.00,1.76E+11,7.4,3.6,Iowa
2911641.00,11353.00,1.52E+11,10.2,4.3,Kansas
4425092.00,9676.00,1.92E+11,8.5,5.4,Kentucky
4670724.00,25208.00,2.38E+11,6.9,6.2,Louisiana
1329328.00,1729.00,57332000000,9.6,4.4,Maine
6006401.00,27462.00,3.66E+11,16,5.2,Maryland
6794422.00,26562.00,4.88E+11,16.4,4.9,Massachusetts
9922576.00,41231.00,4.71E+11,9.4,5.4,Michigan
5489594.00,13319.00,3.27E+11,10.3,3.8,Minnesota
2992333.00,8254.00,1.06E+11,7.1,6.5,Mississippi
6083672.00,30261.00,2.93E+11,9.5,5,Missouri
1032949.00,3611.00,45845000000,8.3,4.1,Montana
1896190.00,5212.00,1.13E+11,8.8,3,Nebraska
2890845.00,20118.00,1.41E+11,7.6,6.9,Nevada
1330608.00,2652.00,74269000000,11.2,3.4,New Hampshire
8958013.00,22879.00,5.64E+11,12.9,5.8,New Jersey
2085109.00,13681.00,93230000000,10.4,6.8,New Mexico
19795791.00,75165.00,1.45E+12,14,5.3,New York
10042802.00,34852.00,5.00E+11,8.8,5.9,North Carolina
756927.00,1812.00,55927000000,6.7,2.7,North Dakota
11613423.00,33898.00,6.07E+11,8.8,4.9,Ohio
4028977.00,10468.00,1.88E+11,7.4,4.3,Oklahoma
4093465.00,12475.00,2.17E+11,10.4,5.7,Oregon
12802503.00,40339.00,7.08E+11,10.2,5.2,Pennsylvania
1056298.00,2562.00,55650000000,11.7,5.9,Rhode Island
4896146.00,24700.00,2.02E+11,8.4,5.9,South Carolina
858469.00,3289.00,47073000000,7.3,3.5,South Dakota
6600299.00,40400.00,3.17E+11,7.9,5.7,Tennessee
27469114.00,113227.00,1.61E+12,8.5,4.4,Texas
2995919.00,7071.00,1.49E+11,9.1,3.6,Utah
626042.00,739.00,30300000000,13.3,3.6,Vermont
8382993.00,16399.00,4.82E+11,14.1,4.5,Virginia
7170351.00,20394.00,4.46E+11,11.1,5.6,Washington
1844128.00,6231.00,73384000000,6.7,6.9,West Virginia
5771337.00,17647.00,3.02E+11,8.4,4.6,Wisconsin
586107.00,1302.00,39415000000,7.9,4.1,Wyoming
