state,city,population,total,crimesper,lat,lon
Alabama,Dothan,"66,275",9816.7,14.81207092,31.2232313,-85.3904888
Alabama,Hoover,"82,332",5504.5,6.685735801,33.4053867,-86.8113781
Alabama,Tuscaloosa,"91,973",10496.5,11.41258848,33.2098407,-87.5691735
Arizona,Avondale,"78,364",9991.7,12.75037007,33.4355977,-112.3496021
Arizona,Flagstaff,"66,633",9292.5,13.94579263,35.1982836,-111.651302
Arizona,Goodyear,"67,033",5600.4,8.354690973,33.4353394,-112.3576567
Arizona,Yuma,"95,568",8080.1,8.454817512,32.6926512,-114.6276916
Arkansas,Conway,"60,700",9196.1,15.15008237,35.0886963,-92.4421011
Arkansas,Fayetteville,"75,387",9102.4,12.0742303,36.082156,-94.1718542
Arkansas,Fort Smith,"87,483",12477.8,14.26311398,35.3859242,-94.3985475
Arkansas,Jonesboro,"68,807",10033.8,14.58252794,35.8422967,-90.704279
Arkansas,North Little Rock,"63,125",18756.5,29.71326733,34.769536,-92.2670941
Arkansas,Springdale,"71,668",8438.9,11.77499023,36.1867442,-94.1288141
California,Alameda,"75,467",5438.1,7.205931069,37.7652065,-122.2416355
California,Alhambra,"84,469",4896.5,5.796801193,34.095287,-118.1270146
California,Apple Valley,"70,823",5916,8.353218587,34.5008311,-117.1858759
California,Baldwin Park,"76,644",4817,6.284901623,34.0852868,-117.9608978
California,Bellflower,"77,886",5407.9,6.943353106,33.8816818,-118.1170117
California,Buena Park,"82,505",5507.5,6.675353009,33.8674044,-117.9981387
California,Camarillo,"66,506",3055.4,4.594171954,34.2163937,-119.0376023
California,Carson,"93,233",6926.6,7.429343687,33.8316745,-118.281693
California,Chico,"87,090",5908.8,6.784705477,39.7284944,-121.8374777
California,Chino Hills,"76,632",2662,3.47374465,33.9898188,-117.7325848
California,Chino,"79,792",6033.2,7.561159013,34.0122346,-117.688944
California,Citrus Heights,"85,112",8097.4,9.513817088,38.7071247,-121.2810611
California,Clovis,"97,828",8676.6,8.86923989,36.8252277,-119.7029194
California,Compton,"98,057",7377.3,7.523481241,33.8958492,-118.2200712
California,Davis,"66,628",4715.7,7.07765504,38.5449065,-121.7405167
California,Encinitas,"60,960",4744.2,7.782480315,33.0369867,-117.2919818
California,Folsom,"73,678",3697.2,5.018051521,38.6779591,-121.1760583
California,Hawthorne,"85,692",6577.1,7.675278906,33.9164032,-118.3525748
California,Hemet,"81,213",9584.8,11.8020514,33.7475203,-116.9719684
California,Hesperia,"92,383",6286.9,6.805256378,34.4263886,-117.3008784
California,Indio,"78,501",8257.2,10.51859212,33.7205771,-116.2155619
California,Jurupa Valley,"97,577",7145.1,7.322524775,33.9971974,-117.4854802
California,La Habra,"61,731",4202,6.806952747,33.9318591,-117.946137
California,Laguna Niguel,"64,533",2513.3,3.894596563,33.5236744,-117.7149438
California,Lake Forest,"79,166",3019,3.813505798,33.6469437,-117.6861023
California,Lakewood,"81,382",5625.2,6.912093583,33.8536269,-118.1339563
California,Livermore,"82,800",5087,6.143719807,37.6818745,-121.7680088
California,Lodi,"63,718",9036.6,14.18217772,38.1341477,-121.2722194
California,Lynwood,"70,908",5398.6,7.613527388,33.930293,-118.2114603
California,Madera,"62,796",6647,10.58506911,36.9613356,-120.0607176
California,Manteca,"68,887",8553.2,12.41627593,37.7974273,-121.2160526
California,Menifee,"80,047",5069.6,6.333279198,33.6971468,-117.185294
California,Merced,"80,976",12154.3,15.00975598,37.3021632,-120.4829677
California,Milpitas,"68,433",6149.1,8.985577134,37.4323341,-121.8995741
California,Mission Viejo,"95,599",2656.9,2.779213172,33.5968913,-117.6581562
California,Montebello,"63,538",6046.6,9.516509805,34.0165053,-118.1137535
California,Monterey Park,"61,270",3580.7,5.844132528,34.0625106,-118.1228476
California,Mountain View,"75,933",4145.8,5.459813256,37.3860517,-122.0838511
California,Napa,"78,589",4730.7,6.01954472,38.2975381,-122.286865
California,Newport Beach,"87,286",5159.9,5.911486378,33.6188829,-117.9298493
California,Palo Alto,"66,019",4429,6.708674775,37.4418834,-122.1430195
California,Perris,"70,616",6573.6,9.308938484,33.7825194,-117.2286478
California,Pico Rivera,"63,988",6379.4,9.969681815,33.9830688,-118.096735
California,Pittsburg,"64,890",6962.4,10.7295423,38.0279762,-121.8846806
California,Pleasanton,"71,875",3695.4,5.141426087,37.6624312,-121.8746789
California,Rancho Cordova,"66,214",7551.2,11.40423475,38.5890723,-121.302728
California,Redding,"90,974",11178.9,12.28801636,40.5865396,-122.3916754
California,Redlands,"70,399",9127.8,12.96580917,34.0555693,-117.1825381
California,Redondo Beach,"67,856",5264,7.757604339,33.8491816,-118.3884078
