state,city,population,violent,property,total,lat,lon,crime1,crime2
Ohio,Cincinnati,298478,925,5510,6435,39.1031182,-84.5120196,21.55937791,64.35
Michigan,Detroit,673225,1759.6,4093.6,5853.2,42.331427,-83.0457538,8.694270118,58.532
California,Bakersfield,373887,484.1,4161.4,4645.5,35.3732921,-119.0187125,12.42487704,46.455
Ohio,Cleveland*,388655,1334.3,5434.4,6768.7,41.49932,-81.6943605,17.41570287,67.687
Missouri,St. Louis,317095,1817.1,6316.1,8133.2,38.6270025,-90.1994042,25.6490957,81.332
New York,Buffalo,258096,1118.6,4330.2,5448.8,42.8864468,-78.8783689,21.11152439,54.488
Pennsylvania,Pittsburgh,306870,706.2,3224.5,3930.7,40.4406248,-79.9958864,12.80900707,39.307
California,Fresno,520837,551.2,4148.3,4699.5,36.7377981,-119.7871247,9.022976478,46.995
Ohio,Columbus,860090,546.3,3934.3,4480.6,39.9611755,-82.9987942,5.209454824,44.806
Tennessee,Memphis,657936,1740.1,5630.8,7370.9,35.1495343,-90.0489801,11.20306534,73.709
Oklahoma,Tulsa,401520,903.6,5203.2,6106.8,36.1539816,-95.992775,15.20920502,61.068
California,Oakland,419481,1442.5,5856.8,7299.3,37.8043637,-122.2711137,17.40078812,72.993
Maryland,Baltimore,621252,1535.9,4980.4,6516.3,39.2903848,-76.6121893,10.48898032,65.163
Missouri,Kansas City,473373,1417.3,4441.3,5858.6,39.0997265,-94.5785667,12.37628678,58.586
Minnesota,St. Paul,300721,703.3,3282.1,3985.4,44.9537029,-93.0899578,13.25281573,39.854
Wisconsin,Milwaukee,600400,1596.1,4264.2,5860.3,43.0389025,-87.9064736,9.76065956,58.603
Alaska,Anchorage,301239,1070.9,3917.5,4988.4,61.2180556,-149.9002778,16.55960882,49.884
North Carolina,Greensboro,285950,597,3568.5,4165.5,36.0726354,-79.7919754,14.56723203,41.655
Texas,Laredo,256280,379.3,3370.9,3750.2,27.5305671,-99.4803241,14.63321367,37.502
California,Stockton,304890,1352,4263.2,5615.2,37.9577016,-121.2907796,18.41713405,56.152
Kansas,Wichita,389824,984.8,5041.2,6026,37.6871761,-97.330053,15.45825809,60.26
Nebraska,Lincoln,276585,370.6,3265.9,3636.5,40.813616,-96.7025955,13.1478569,36.365
California,San Francisco,863782,776.8,6138,6914.8,37.7749295,-122.4194155,8.005260587,69.148
Texas,Houston,2275221,966.7,4397.5,5364.2,29.7604267,-95.3698028,2.35766108,53.642
California,Sacramento,489717,737.4,3369.5,4106.9,38.5815719,-121.4943996,8.386272071,41.069
California,Los Angeles,3962726,634.8,2359.6,2994.4,34.0522342,-118.2436849,0.755641445,29.944
