state,name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,violent_crime_p,homicide_p,rape_legacy_p,rape_revised_p,robbery_p,aggravated_assault_p,property_crime_p,burglary_p,larceny_p,motor_vehicle_theft_p,lat,lon
AL,Alabama,4863300,25886,407,1916,1385,1916,1385,4686,4686,18877,143362,34065,97574,11723,7.61619508,0.119747794,0.563726716,0.407495565,1.378717845,5.554002724,42.18005714,32.3182314,-86.902298
AK,Alaska,741894,5966,52,1053,757,1053,757,850,850,4011,24876,4053,17766,3057,9.554619561,0.083278615,1.686391954,1.212344453,1.361285053,6.423663939,39.83920821,64.2008413,-149.4936733
AZ,Arizona,6931071,32583,380,3290,2452,3290,2452,7055,7055,21858,206432,37736,150275,18421,6.781315429,0.07908725,0.684729085,0.510320886,1.468317231,4.549181863,42.96352413,34.0489281,-111.0937311
AR,Arkansas,2988248,16461,216,2143,1545,2143,1545,2120,2120,11982,97673,23771,66747,7155,7.162780173,0.093989461,0.932497291,0.672285728,0.922489154,5.213804267,42.50107696,35.20105,-91.8318334
CA,California,39250017,174796,1930,13702,10149,13702,10149,54789,54789,104375,1002070,188304,637010,176756,7.394450059,0.081645396,0.579640007,0.429336333,2.317756266,4.41540839,42.39088177,36.778261,-119.4179324
CO,Colorado,5540545,18983,204,3555,2619,3555,2619,3528,3528,11696,151850,23903,108336,19611,5.513745879,0.059253235,1.032574756,0.760706972,1.024732416,3.397185471,44.10590063,37.0335516,-95.6376017
CT,Connecticut,3576452,8123,78,763,561,763,561,2703,2703,4579,64664,10045,47512,7107,5.558558867,0.053375304,0.522119958,0.383891607,1.849659561,3.133404044,44.24949533,41.6032207,-73.087749
DE,Delaware,952065,4844,56,308,221,308,221,1359,1359,3121,26334,5023,19791,1520,7.740863256,0.089489749,0.492193617,0.353164901,2.171724435,4.987455455,42.08255429,38.9108325,-75.5276699
DC,washington DC,681170,8214,139,532,401,532,401,3480,3480,4063,32716,2361,27382,2973,9.985290721,0.168974362,0.646722019,0.4874728,4.230437267,4.939157073,39.77097288,38.9071923,-77.0368707
FL,Florida,20612439,88700,1111,7598,5528,7598,5528,20175,20175,59816,553812,100325,410352,43135,6.873027976,0.086087194,0.588740322,0.42834384,1.563284548,4.634915912,42.9128001,27.6648274,-81.5157535
GA,Georgia,10310371,40990,681,3509,2528,3509,2528,12205,12205,24595,309770,63344,219625,26801,5.822046224,0.09672636,0.498403518,0.359066427,1.733546576,3.49336977,43.99842056,32.1656221,-82.9000751
HI,Hawaii,1428557,4417,35,619,447,619,447,994,994,2769,42753,6017,31082,5654,4.659921719,0.036924895,0.653043139,0.471583656,1.048667011,2.921286674,45.10428645,37.2278468,-95.7099798
ID,Idaho,1683140,3876,49,719,529,719,529,213,213,2895,29357,6318,20962,2077,5.785506381,0.073139787,1.073214419,0.789611165,0.317934174,4.321218001,43.81968804,37.0657963,-95.7777715
IL,Illinois,12801539,55854,1054,4908,3635,4908,3635,17827,17827,32065,262306,47989,194407,19910,8.727801174,0.16469908,0.766928925,0.568008688,2.785664617,5.010508551,40.98819448,40.6331249,-89.3985283
IN,Indiana,6633053,26845,439,2501,1851,2501,1851,7330,7330,16575,171759,34097,122931,14731,6.727075445,0.110008796,0.626724369,0.463841186,1.836821122,4.153521159,43.04100396,40.2671941,-86.1349019
IA,Iowa,3134693,9110,71,1247,922,1247,922,1148,1148,6644,65391,15030,45378,4983,6.076412049,0.047357328,0.831754756,0.614978256,0.765721299,4.431578667,43.61609882,41.8780025,-93.097702
