state_abbr,violent_crime,rape_legacy,robbery,aggravated_assault,burglary,larceny,motor_vehicle_theft
AL,22957,2037,4612,15960,35265,99182,10338
AK,5391,900,761,3671,3511,15249,2046
AZ,27968,3109,6360,18193,38010,152388,16786
AR,15769,2008,2117,11455,22851,68720,5820
CA,166883,12811,52862,99349,197404,656517,170993
CO,17348,3328,3315,10532,23490,104532,16022
CT,7938,798,2925,4099,10286,48898,6426
DE,4760,361,1240,3097,4797,19555,1193
DC,8538,494,3746,4136,2971,25208,3265
FL,93625,7552,21137,63895,109268,420341,40661
GA,38891,3257,12545,22467,68149,220715,27149
HI,4201,400,1203,2418,6557,42010,5779
ID,3593,703,191,2667,6124,20916,1872
IL,49755,4926,15056,29019,46846,192424,17692
IN,25373,2386,7081,15536,34404,123940,13534
IA,8619,1205,1050,6291,14977,45328,4383
KS,11483,1684,1823,7850,15619,57435,7005
KY,9887,1644,3314,4710,22526,67143,7876
LA,25202,1733,5561,17416,35457,112520,9731
ME,1726,461,311,931,4694,18853,814
MD,28185,1717,10111,15819,26432,102701,13414
MA,26453,2082,5266,18974,21826,84676,8045
MI,41712,6710,7818,26599,40375,132019,18797
MN,13319,2321,3771,7094,19299,94704,7981
MS,8190,1158,2312,4467,25068,56446,4271
MO,30292,2573,6383,20833,34029,122749,17010
MT,3647,572,210,2827,3887,20966,2423
NE,5167,885,994,3226,6443,32148,4006
NV,20118,1688,6287,11965,22360,43426,11351
NH,2692,644,475,1558,3482,19076,895
NJ,22879,1373,9729,11414,27960,105963,11778
NM,13672,1663,2485,9407,17084,51485,8643
NY,75126,6141,23879,44493,44117,257837,15271
NC,34734,2591,8821,22805,74760,187732,13423
ND,1949,391,159,1378,3296,12686,1734
OH,34373,5441,12617,15793,69994,216354,17395
OK,16746,1953,3018,11535,28783,74678,10594
OR,10680,1650,2163,6757,18541,90514,10697
PA,40348,4299,12965,22419,39573,180236,12132
RI,2565,467,547,1520,3938,14714,1386
SC,24448,2439,3950,17652,34942,114778,13110
SD,3302,500,215,2554,2969,12576,1194
TN,40816,2801,7499,30098,43753,139259,13035
TX,113193,12323,31924,67629,153067,558653,67514
UT,7138,1704,1329,4048,12606,68464,8727
VT,747,150,105,482,2034,6834,196
VA,16705,2499,4459,9357,21542,128064,8197
WA,20505,2778,5450,12059,51114,171393,26967
WV,6397,710,783,4819,9467,26984,2243
WI,17549,1805,5234,10270,19602,83572,10997
WY,1300,171,59,1054,1762,8797,592
