year,state,crime_type,total
1995,AL,Violent Crime,26894
1995,AL,Rape Legacy,1350
1995,AL,Robbery,7900
1995,AL,Aggravated Assault,17169
1995,AL,Burglary,43586
1995,AL,Larceny,120967
1995,AL,Motor Vehicle Theft,14741
1995,AK,Violent Crime,4656
1995,AK,Rape Legacy,485
1995,AK,Robbery,937
1995,AK,Aggravated Assault,3179
1995,AK,Burglary,5055
1995,AK,Larceny,21891
1995,AK,Motor Vehicle Theft,3151
1995,AZ,Violent Crime,30095
1995,AZ,Rape Legacy,1418
1995,AZ,Robbery,7329
1995,AZ,Aggravated Assault,20909
1995,AZ,Burglary,59762
1995,AZ,Larceny,207763
1995,AZ,Motor Vehicle Theft,48830
1995,AR,Violent Crime,13741
1995,AR,Rape Legacy,925
1995,AR,Robbery,3122
1995,AR,Aggravated Assault,9435
1995,AR,Burglary,24763
1995,AR,Larceny,69935
1995,AR,Motor Vehicle Theft,8082
1995,CA,Violent Crime,305154
1995,CA,Rape Legacy,10554
1995,CA,Robbery,104611
1995,CA,Aggravated Assault,186458
1995,CA,Burglary,353895
1995,CA,Larceny,902456
1995,CA,Motor Vehicle Theft,280479
1995,CO,Violent Crime,16494
1995,CO,Rape Legacy,1480
1995,CO,Robbery,3604
1995,CO,Aggravated Assault,11194
1995,CO,Burglary,35001
1995,CO,Larceny,136184
1995,CO,Motor Vehicle Theft,14520
1995,CT,Violent Crime,13293
1995,CT,Rape Legacy,776
1995,CT,Robbery,5345
1995,CT,Aggravated Assault,7022
1995,CT,Burglary,29095
1995,CT,Larceny,87401
1995,CT,Motor Vehicle Theft,17692
1995,DE,Violent Crime,5198
1995,DE,Rape Legacy,575
1995,DE,Robbery,1425
1995,DE,Aggravated Assault,3173
1995,DE,Burglary,6491
1995,DE,Larceny,22329
1995,DE,Motor Vehicle Theft,2970
1995,DC,Violent Crime,14744
1995,DC,Rape Legacy,292
1995,DC,Robbery,6864
1995,DC,Aggravated Assault,7228
1995,DC,Burglary,10185
1995,DC,Larceny,32319
1995,DC,Motor Vehicle Theft,10193
1995,FL,Violent Crime,151711
1995,FL,Rape Legacy,6887
1995,FL,Robbery,42485
1995,FL,Aggravated Assault,101302
1995,FL,Burglary,215657
1995,FL,Larceny,612311
1995,FL,Motor Vehicle Theft,111320
1995,GA,Violent Crime,47317
1995,GA,Rape Legacy,2539
1995,GA,Robbery,14777
1995,GA,Aggravated Assault,29318
1995,GA,Burglary,76324
1995,GA,Larceny,264872
1995,GA,Motor Vehicle Theft,43809
1995,HI,Violent Crime,3509
1995,HI,Rape Legacy,336
1995,HI,Robbery,1553
1995,HI,Aggravated Assault,1564
1995,HI,Burglary,13832
1995,HI,Larceny,59907
1995,HI,Motor Vehicle Theft,8199
1995,ID,Violent Crime,3745
1995,ID,Rape Legacy,330
1995,ID,Robbery,279
1995,ID,Aggravated Assault,3088
1995,ID,Burglary,9069
1995,ID,Larceny,35560
1995,ID,Motor Vehicle Theft,2815
1995,IL,Violent Crime,117836
1995,IL,Rape Legacy,4313
1995,IL,Robbery,39139
1995,IL,Aggravated Assault,73163
1995,IL,Burglary,108555
1995,IL,Larceny,357143
1995,IL,Motor Vehicle Theft,61874
1995,IN,Violent Crime,30451
1995,IN,Rape Legacy,1930
1995,IN,Robbery,7844
1995,IN,Aggravated Assault,20211
1995,IN,Burglary,47676
1995,IN,Larceny,163618
1995,IN,Motor Vehicle Theft,27023
1995,IA,Violent Crime,10071
1995,IA,Rape Legacy,619
1995,IA,Robbery,1507
1995,IA,Aggravated Assault,7894
1995,IA,Burglary,21527
1995,IA,Larceny,78645
1995,IA,Motor Vehicle Theft,6332
1995,KS,Violent Crime,10792
1995,KS,Rape Legacy,938
1995,KS,Robbery,2775
1995,KS,Aggravated Assault,6920
1995,KS,Burglary,27404
1995,KS,Larceny,78855
1995,KS,Motor Vehicle Theft,8299
1995,KY,Violent Crime,14079
1995,KY,Rape Legacy,1231
1995,KY,Robbery,4001
1995,KY,Aggravated Assault,8571
1995,KY,Burglary,28389
1995,KY,Larceny,76906
1995,KY,Motor Vehicle Theft,10003
1995,LA,Violent Crime,43741
1995,LA,Rape Legacy,1855
1995,LA,Robbery,11662
1995,LA,Aggravated Assault,29484
1995,LA,Burglary,53481
1995,LA,Larceny,166667
1995,LA,Motor Vehicle Theft,25984
1995,ME,Violent Crime,1631
1995,ME,Rape Legacy,265
1995,ME,Robbery,334
1995,ME,Aggravated Assault,1007
1995,ME,Burglary,9015
1995,ME,Larceny,28444
1995,ME,Motor Vehicle Theft,1673
1995,MD,Violent Crime,49757
1995,MD,Rape Legacy,2130
1995,MD,Robbery,21334
1995,MD,Aggravated Assault,25697
1995,MD,Burglary,53320
1995,MD,Larceny,178126
1995,MD,Motor Vehicle Theft,36179
1995,MA,Violent Crime,41739
1995,MA,Rape Legacy,1759
1995,MA,Robbery,9137
1995,MA,Aggravated Assault,30626
1995,MA,Burglary,49669
1995,MA,Larceny,135586
1995,MA,Motor Vehicle Theft,36716
1995,MI,Violent Crime,65680
1995,MI,Rape Legacy,5917
1995,MI,Robbery,17885
1995,MI,Aggravated Assault,41070
1995,MI,Burglary,86872
1995,MI,Larceny,280712
1995,MI,Motor Vehicle Theft,61639
1995,MN,Violent Crime,16416
1995,MN,Rape Legacy,2593
1995,MN,Robbery,5702
1995,MN,Aggravated Assault,7939
1995,MN,Burglary,36756
1995,MN,Larceny,138414
1995,MN,Motor Vehicle Theft,15741
1995,MS,Violent Crime,13560
1995,MS,Rape Legacy,1054
1995,MS,Robbery,3530
1995,MS,Aggravated Assault,8628
1995,MS,Burglary,30505
1995,MS,Larceny,67967
1995,MS,Motor Vehicle Theft,9723
1995,MO,Violent Crime,35339
1995,MO,Rape Legacy,1711
1995,MO,Robbery,10863
1995,MO,Aggravated Assault,22296
1995,MO,Burglary,49649
1995,MO,Larceny,162430
1995,MO,Motor Vehicle Theft,25199
1995,MT,Violent Crime,1491
1995,MT,Rape Legacy,231
1995,MT,Robbery,253
1995,MT,Aggravated Assault,972
1995,MT,Burglary,5060
1995,MT,Larceny,32797
1995,MT,Motor Vehicle Theft,2389
1995,NE,Violent Crime,6253
1995,NE,Rape Legacy,317
1995,NE,Robbery,1067
1995,NE,Aggravated Assault,4821
1995,NE,Burglary,10344
1995,NE,Larceny,52044
1995,NE,Motor Vehicle Theft,5752
1995,NV,Violent Crime,14461
1995,NV,Rape Legacy,937
1995,NV,Robbery,4966
1995,NV,Aggravated Assault,8395
1995,NV,Burglary,20235
1995,NV,Larceny,54563
1995,NV,Motor Vehicle Theft,11405
1995,NH,Violent Crime,1314
1995,NH,Rape Legacy,333
1995,NH,Robbery,314
1995,NH,Aggravated Assault,646
1995,NH,Burglary,4806
